data,mm,uf
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-01,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-02,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,4.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-03,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.2,CE
2015-01-04,1.6,CE
2015-01-04,2.6,CE
2015-01-04,2.4,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-04,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-05,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-06,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-07,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-08,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-09,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-10,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-11,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-12,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
2015-01-13,0.0,CE
