id|data_iniSE|casos|ibge_code|cidade|uf|cep|latitude|longitude
277|2015-04-12|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
278|2015-04-19|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
279|2015-04-26|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
280|2015-05-03|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
281|2015-05-10|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
282|2015-05-17|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
283|2015-05-24|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
284|2015-05-31|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
285|2015-06-07|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
286|2015-06-14|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
287|2015-06-21|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
288|2015-06-28|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
289|2015-07-05|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
290|2015-07-12|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
291|2015-07-19|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
292|2015-07-26|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
293|2015-08-02|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
294|2015-08-09|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
295|2015-08-16|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
296|2015-08-23|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
297|2015-08-30|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
298|2015-09-06|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
299|2015-09-13|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
300|2015-09-20|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
301|2015-09-27|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
302|2015-10-04|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
303|2015-10-11|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
304|2015-10-18|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
305|2015-10-25|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
306|2015-11-01|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
307|2015-11-08|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
308|2015-11-15|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
309|2015-11-22|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
310|2015-11-29|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
311|2015-12-06|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
312|2015-12-13|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
313|2015-12-20|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
314|2015-12-27|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
525|2015-01-04|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
526|2015-01-11|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
527|2015-01-18|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
528|2015-01-25|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
529|2015-02-01|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
530|2015-02-08|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
531|2015-02-15|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
532|2015-02-22|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
533|2015-03-01|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
534|2015-03-08|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
535|2015-03-15|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
536|2015-03-22|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
537|2015-03-29|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
538|2015-04-05|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
539|2015-04-12|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
540|2015-04-19|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
541|2015-04-26|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
542|2015-05-03|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
543|2015-05-10|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
544|2015-05-17|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
545|2015-05-24|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
546|2015-05-31|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
547|2015-06-07|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
548|2015-06-14|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
549|2015-06-21|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
550|2015-06-28|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
551|2015-07-05|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
552|2015-07-12|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
553|2015-07-19|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
554|2015-07-26|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
555|2015-08-02|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
556|2015-08-09|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
557|2015-08-16|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
558|2015-08-23|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
559|2015-08-30|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
560|2015-09-06|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
561|2015-09-13|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
562|2015-09-20|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
563|2015-09-27|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
564|2015-10-04|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
565|2015-10-11|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
566|2015-10-18|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
567|2015-10-25|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
568|2015-11-01|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
569|2015-11-08|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
570|2015-11-15|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
571|2015-11-22|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
572|2015-11-29|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
573|2015-12-06|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
574|2015-12-13|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
575|2015-12-20|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
576|2015-12-27|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
787|2015-01-04|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
788|2015-01-11|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
789|2015-01-18|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
790|2015-01-25|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
791|2015-02-01|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
792|2015-02-08|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
793|2015-02-15|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
794|2015-02-22|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
795|2015-03-01|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
796|2015-03-08|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
797|2015-03-15|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
798|2015-03-22|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
799|2015-03-29|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
800|2015-04-05|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
801|2015-04-12|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
802|2015-04-19|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
803|2015-04-26|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
804|2015-05-03|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
